,WORD,COUNT
4272,lee,78
4968,voters,78
4095,aggravated,78
158,previously,78
1746,establish,78
2690,sell,77
3011,operated,77
1523,patents,77
283,loan,77
3353,interests,77
1538,practices,77
1957,rehearing,77
1393,percent,77
2549,jurors,77
2639,sex,77
934,management,77
3637,seized,77
2644,less,77
1551,burglary,76
4250,minnesota,76
863,suffered,76
5682,copyright,76
3610,environmental,76
4363,petitioner,76
1728,eeoc,76
2490,justice,76
705,opportunity,76
5045,need,76
2063,davis,76
2264,known,76
733,common,75
3082,council,75
1900,records,75
1895,cannot,75
1808,asserted,75
227,february,75
413,constitutionality,75
4585,covered,74
2903,negligence,74
517,sent,74
1417,shot,74
1150,month,74
1289,procedures,74
2376,acts,74
618,purchased,74
1534,eventually,74
1742,issues,74
2554,submitted,74
3441,cost,73
1007,proceeding,73
4192,violent,73
2682,substantially,73
3467,african,73
2869,taking,73
592,mississippi,73
1757,scheme,73
545,wisconsin,73
1116,july,72
1149,residence,72
223,waived,72
1879,fund,72
2035,future,72
2157,safety,72
2243,collective,72
683,remedies,72
543,church,72
1870,mail,72
262,invalid,72
2706,instructions,72
2675,identified,72
298,self,72
3515,include,72
3145,judges,72
5325,mitigating,72
465,crimes,71
2588,account,71
3857,purchase,71
1682,reservation,71
2033,prevented,71
199,persons,71
1267,central,71
3558,controlled,71
1796,approval,70
1671,least,70
1041,conditions,70
2244,bargaining,70
2985,met,70
962,statutes,70
3436,injuries,70
2020,decisions,70
4879,execution,70
246,declaratory,70
520,bring,70
266,admission,70
2388,lawyer,70
4228,fcc,70
2463,arkansas,70
1985,faith,69
2162,valid,69
308,subsequent,69
4606,enough,69
1233,proposed,69
2454,motor,69
2452,committee,69
1275,conducted,69
2720,point,69
1780,specifically,69
4487,transfer,69
1285,mental,69
1469,relations,69
3835,assets,69
192,september,68
11,died,68
2460,transportation,68
261,waiver,68
3114,l,68
6100,citing,68
2399,noted,68
1779,communications,68
2437,involving,68
2841,owners,68
1419,potential,68
5701,interpretation,68
625,refund,68
1057,inmates,68
1158,governor,68
2694,customers,67
3923,driving,67
1109,motions,67
1144,objected,67
698,petitions,67
3663,count,67
1371,husband,67
1945,mandatory,67
2087,already,67
1820,concluding,67
1575,freedom,67
224,respect,67
1420,witnesses,67
1768,per,67
1894,seizure,67
402,killed,67
1996,proof,66
2284,father,66
3519,appropriate,66
11307,acca,66
501,stopped,66
936,commissioner,66
2361,properly,66
2092,candidate,66
279,testify,66
3587,community,66
2044,injured,66
632,offered,66
2737,punitive,65
2377,constitute,65
1294,unconstitutionally,65
1465,superior,65
2555,written,65
3389,responsible,65
4507,duty,65
2642,rates,65
631,prosecutor,65
1732,job,65
4426,rate,65
315,jail,65
1635,permitted,65
1666,clearly,65
1006,stating,65
1399,large,65
2657,discriminatory,65
1829,park,65
1559,receiving,65
2066,physical,65
1942,challenging,65
754,documents,65
1287,facility,64
3005,primary,64
1073,construction,64
254,hear,64
594,corp,64
2059,initial,64
7630,factors,64
4778,f,64
3696,commercial,64
894,lands,64
4720,merely,64
2027,prices,64
3120,kansas,64
4176,montana,64
1590,many,63
265,denying,63
1756,funding,63
598,meaning,63
111,miller,63
2021,r,63
827,anti,63
695,ten,63
1244,protect,63
666,seven,63
670,released,63
