,WORD,COUNT,DELETE
687,probable,89,0
200,additional,89,0
1173,signed,89,0
2632,available,89,0
680,august,89,0
368,shall,89,0
3102,missouri,89,0
1355,colorado,89,0
1859,violence,89,0
448,people,88,0
1402,vote,88,0
2179,offenses,88,0
1026,placed,88,0
2227,constituted,88,0
3733,abuse,88,0
3397,response,88,0
2680,miranda,88,0
4508,tenth,88,0
1148,tennessee,88,0
975,exemption,88,0
167,times,87,0
805,unlawful,87,0
1253,directly,87,0
1090,confession,87,0
1439,heard,87,0
585,protected,86,0
1846,testified,86,0
3024,value,86,0
1063,failing,86,0
5228,rico,86,0
658,j,86,0
2766,fired,86,0
225,letter,86,0
2375,jones,86,0
491,contained,85,0
2183,give,85,0
1788,pre,85,0
109,appointed,85,0
2413,owner,85,0
716,cross,85,0
2717,december,85,0
165,working,84,0
2966,specific,84,0
3886,product,84,0
1005,custody,84,0
1462,practice,84,0
1542,armed,84,0
933,trade,84,0
794,open,84,0
4635,pleaded,84,0
1246,permanent,84,0
941,agent,84,0
2065,report,84,0
408,jackson,83,0
888,doctrine,83,0
2674,brown,83,0
4563,dispute,83,0
3260,occurred,83,0
1255,sue,83,0
1055,discretion,83,0
72,witness,83,0
347,massachusetts,83,0
2153,residents,83,0
1325,light,83,0
792,robert,82,0
762,record,82,0
2663,vii,82,0
2814,treatment,82,0
1094,plaintiff,82,0
2745,stay,82,0
3123,way,82,0
2621,worked,82,0
2744,railroad,81,0
2260,name,81,0
477,activity,81,0
1313,official,81,0
1931,good,81,0
296,questions,81,0
451,drugs,81,0
1589,served,81,0
1197,instruction,81,0
1245,preliminary,81,0
777,hours,80,0
1477,allowing,80,0
403,resident,80,0
4367,loss,80,0
4310,engaged,80,0
1995,recover,80,0
2015,bureau,80,0
1619,taken,80,0
3049,banks,80,0
1177,contracts,80,0
1896,victim,79,0
351,men,79,0
453,kentucky,79,0
834,oregon,79,0
672,june,79,0
816,continued,79,0
97,adopted,79,0
4785,liable,79,0
710,facts,79,0
1097,merits,79,0
2673,apartment,78,0
6919,tribal,78,0
1752,acting,78,0
4272,lee,78,0
4968,voters,78,0
4095,aggravated,78,0
158,previously,78,0
1746,establish,78,0
2690,sell,77,0
3011,operated,77,0
1523,patents,77,0
283,loan,77,0
3353,interests,77,0
1538,practices,77,0
1957,rehearing,77,0
1393,percent,77,0
2549,jurors,77,0
2639,sex,77,0
934,management,77,0
3637,seized,77,0
